,flight,distance
268,DE_EDDH_HU_LHBP,951.4162189576688
269,DE_EDDH_IE_EIDW,1076.132536033139
270,DE_EDDH_IT_LIMC,894.357276292526
271,DE_EDDH_IT_LIME,885.1742478497941
272,DE_EDDH_IT_LIPZ,919.5718166091252
273,DE_EDDH_IT_LIRF,1325.9443701452565
274,DE_EDDH_NL_EHAM,380.45537352054185
275,DE_EDDH_NO_ENGM,725.6445188748137
276,DE_EDDH_PL_EPWA,755.7668465511218
277,DE_EDDH_PT_LPPT,2199.9647065290305
278,DE_EDDH_RU_UUEE,1770.9071752882394
279,DE_EDDH_SE_ESSA,827.253996645405
280,DE_EDDH_TR_LTAI,2456.334481797538
281,DE_EDDH_TR_LTBA,1989.6529014851812
282,DE_EDDH_TR_LTBJ,2150.8200641975063
283,DE_EDDH_TR_LTFJ,2022.5671950186536
284,DE_EDDH_UK_EGCC,813.498251508908
285,DE_EDDH_UK_EGKK,745.1455597792108
286,DE_EDDH_UK_EGLL,747.6646557983755
287,DE_EDDH_UK_EGPH,895.7730558506241
288,DE_EDDH_UK_EGSS,685.8789735426551
289,DE_EDDK_AT_LOWW,747.9155840814262
290,DE_EDDK_CH_LSZH,391.89704053030886
291,DE_EDDK_DE_EDDB,472.6461598968547
292,DE_EDDK_DE_EDDC,465.81671763286056
293,DE_EDDK_DE_EDDH,363.79149397269475
294,DE_EDDK_DE_EDDM,436.53117435579867
295,DE_EDDK_DE_EDDT,464.4552984289628
296,DE_EDDK_DK_EKCH,643.8946793724418
297,DE_EDDK_EG_HEGN,3460.918330418022
298,DE_EDDK_EL_LGIR,2252.728921202571
299,DE_EDDK_ES_GCLP,3174.27904072771
300,DE_EDDK_ES_GCTS,3223.851203034793
301,DE_EDDK_ES_LEBL,1132.7486071424867
302,DE_EDDK_ES_LEPA,1303.5241976766831
303,DE_EDDK_IE_EIDW,959.5471436788768
304,DE_EDDK_IT_LIMC,593.8875080717238
305,DE_EDDK_IT_LIME,607.734196881403
306,DE_EDDK_IT_LIPE,769.2603119871085
307,DE_EDDK_IT_LIPZ,710.4558474117171
308,DE_EDDK_IT_LIRA,1090.9930735650028
309,DE_EDDK_IT_LIRF,1080.749615664214
310,DE_EDDK_PL_EPMO,949.8296504485563
311,DE_EDDK_PT_LPFR,1951.6007477507176
312,DE_EDDK_PT_LPPR,1619.393461729966
313,DE_EDDK_PT_LPPT,1852.3023399687202
314,DE_EDDK_RU_UUWW,2061.001635321642
315,DE_EDDK_TR_LTAI,2435.2474732177443
316,DE_EDDK_TR_LTBA,1996.8530426012474
317,DE_EDDK_TR_LTBJ,2103.8999184274767
318,DE_EDDK_TR_LTFJ,2034.1482110867707
319,DE_EDDK_UK_EGCC,701.3860051298764
320,DE_EDDK_UK_EGLL,535.8864522027318
321,DE_EDDK_UK_EGSS,493.95772070955474
322,DE_EDDL_AE_OMAA,5030.801733737423
323,DE_EDDL_AE_OMDB,5010.143739251525
324,DE_EDDL_AT_LOWS,595.4515008822524
325,DE_EDDL_AT_LOWW,789.7981473134465
326,DE_EDDL_CH_LSZH,444.6022502836239
327,DE_EDDL_CZ_LKPR,545.4396850894692
328,DE_EDDL_DE_EDDC,489.3043037677385
329,DE_EDDL_DE_EDDF,189.1796552297802
330,DE_EDDL_DE_EDDH,340.22273546968813
331,DE_EDDL_DE_EDDM,486.70480726274496
332,DE_EDDL_DE_EDDN,365.509152659478
